methods,path,module,endpoint,tags,auth_type,minimum_role,required_features_strict,required_features_dependency,feature_refs_conditional_or_internal,eligible_tiers_for_strict_features,helper_gate_signals,pricing_tier_refs_in_handler,user_role_refs_in_handler,turnstile_surfaces,dependency_calls,source_location
GET,/metrics,prometheus_fastapi_instrumentator.instrumentation,metrics,,public,public,,,,free|starter|growth|pro|enterprise,,,,,,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/.venv/lib/python3.13/site-packages/prometheus_fastapi_instrumentator/instrumentation.py:270-288
GET,/scim/v2/Groups,app.modules.governance.api.v1.scim,list_groups,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:1090-1151
POST,/scim/v2/Groups,app.modules.governance.api.v1.scim,create_group,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:1154-1237
DELETE,/scim/v2/Groups/{group_id},app.modules.governance.api.v1.scim,delete_group,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:1628-1678
GET,/scim/v2/Groups/{group_id},app.modules.governance.api.v1.scim,get_group,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:1240-1275
PATCH,/scim/v2/Groups/{group_id},app.modules.governance.api.v1.scim,patch_group,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:1377-1625
PUT,/scim/v2/Groups/{group_id},app.modules.governance.api.v1.scim,put_group,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:1278-1374
GET,/scim/v2/ResourceTypes,app.modules.governance.api.v1.scim,get_resource_types,SCIM,public,public,,,,free|starter|growth|pro|enterprise,,,,,,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:676-678
GET,/scim/v2/Schemas,app.modules.governance.api.v1.scim,list_schemas,SCIM,public,public,,,,free|starter|growth|pro|enterprise,,,,,,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:645-658
GET,/scim/v2/Schemas/{schema_id:path},app.modules.governance.api.v1.scim,get_schema,SCIM,public,public,,,,free|starter|growth|pro|enterprise,,,,,,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:661-673
GET,/scim/v2/ServiceProviderConfig,app.modules.governance.api.v1.scim,get_service_provider_config,SCIM,public,public,,,,free|starter|growth|pro|enterprise,,,,,,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:640-642
GET,/scim/v2/Users,app.modules.governance.api.v1.scim,list_users,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:681-731
POST,/scim/v2/Users,app.modules.governance.api.v1.scim,create_user,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,member,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:734-804
DELETE,/scim/v2/Users/{user_id},app.modules.governance.api.v1.scim,delete_user,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:1054-1087
GET,/scim/v2/Users/{user_id},app.modules.governance.api.v1.scim,get_user,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:807-839
PATCH,/scim/v2/Users/{user_id},app.modules.governance.api.v1.scim,patch_user,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:950-1051
PUT,/scim/v2/Users/{user_id},app.modules.governance.api.v1.scim,put_user,SCIM,scim_bearer_token,n/a,scim,,,enterprise,,,,,app.modules.governance.api.v1.scim::get_scim_context|app.modules.governance.api.v1.scim::get_scim_db,/home/daretechie/DevProject/GitHub/CloudSentinel-AI/app/modules/governance/api/v1/scim.py:842-913
